,Unnamed: 0,Airline,AirlineID,SourceAirport,SourceAirportID,DestAirport,DestAirportID,Codeshare,Stops,Equipment,SourceCountry,DestCountry,MeanPeriod,StdPeriod,Seats
28,305,3G,595,LOS,273,DLA,897,,0,319,Nigeria,Cameroon,0.8899755501222494,0.5043791112950273,112
29,306,3G,595,LOS,273,ROB,1063,,0,319,Nigeria,Liberia,2.2915565447001325,1.861611425059661,181
30,307,3G,595,OXB,5665,CKY,4162,,0,319,Guinea-Bissau,Guinea,2.3333333333333335,0.47140452079103146,22
31,308,3G,595,OXB,5665,DKR,1084,,0,319,Guinea-Bissau,Senegal,0.883495145631068,0.3765188238769962,64
32,309,3G,595,ROB,1063,ACC,248,,0,319,Liberia,Ghana,0.5608628659476117,0.5740214649394184,149
33,310,3G,595,ROB,1063,FNA,1059,,0,319,Liberia,Sierra Leone,7.0,0.3535533905932738,157
34,311,3G,595,ROB,1063,LOS,273,,0,319,Liberia,Nigeria,2.2915565447001325,1.861611425059661,181
35,5344,AA,24,DKR,1084,LPA,1054,Y,0,320,Senegal,Spain,3.5,0.5,192
36,7838,AC,330,BRU,302,DKR,1084,Y,0,333,Belgium,Senegal,1.0083102493074791,0.09078099505913467,266
37,7849,AC,330,CKY,4162,DKR,1084,Y,0,333,Guinea,Senegal,1.2019867549668874,1.077584384530898,175
38,7880,AC,330,DKR,1084,BRU,302,Y,0,333,Senegal,Belgium,1.0083102493074791,0.09078099505913467,266
39,7881,AC,330,DKR,1084,CKY,4162,Y,0,333,Senegal,Guinea,1.123456790123457,0.8941885907274979,172
40,8971,AF,137,ABV,260,CDG,1382,,0,332,Nigeria,France,2.2915565447001325,1.861611425059661,181
41,9213,AF,137,BKO,1044,CDG,1382,,0,343,Mali,France,1.0253521126760563,0.15719218510764688,264
42,9259,AF,137,CDG,1382,ABV,260,,0,332,France,Nigeria,2.2915565447001325,1.861611425059661,181
43,9277,AF,137,CDG,1382,BKO,1044,,0,343,France,Mali,1.0253521126760563,0.15719218510764688,264
44,9294,AF,137,CDG,1382,CKY,4162,,0,332,France,Guinea,2.0,0.5359970314092775,285
45,9301,AF,137,CDG,1382,DKR,1084,,0,77W,France,Senegal,1.0,0.0,288
46,9351,AF,137,CDG,1382,LOS,273,,0,332,France,Nigeria,1.0027624309392265,0.05248618784530387,291
47,9391,AF,137,CDG,1382,ROB,1063,,0,332,France,Liberia,2.2915565447001325,1.861611425059661,181
48,9432,AF,137,CKY,4162,CDG,1382,,0,332,Guinea,France,2.0,0.5359970314092775,275
49,9433,AF,137,CKY,4162,NKC,1094,,0,332,Guinea,Mauritania,2.2915565447001325,1.861611425059661,181
50,9466,AF,137,DKR,1084,CDG,1382,,0,77W,Senegal,France,1.0,0.0,288
51,9530,AF,137,FNA,1059,CDG,1382,,0,332,Sierra Leone,France,2.2915565447001325,1.861611425059661,181
52,9668,AF,137,LOS,273,CDG,1382,,0,332,Nigeria,France,1.0027624309392265,0.05248618784530387,291
53,9812,AF,137,NKC,1094,CKY,4162,,0,332,Mauritania,Guinea,2.2915565447001325,1.861611425059661,181
54,10057,AH,794,ALG,210,BKO,1044,,0,738,Algeria,Mali,2.260869565217391,1.1503266569846067,114
55,10067,AH,794,ALG,210,DKR,1084,,0,738,Algeria,Senegal,5.3088235294117645,14.753122653448036,128
56,10122,AH,794,BKO,1044,ALG,210,,0,738,Mali,Algeria,3.3394495412844036,1.9262559752837378,101
57,10156,AH,794,DKR,1084,ALG,210,,0,738,Senegal,Algeria,3.5,0.5,144
58,12072,AT,4248,BKO,1044,CMN,1074,,0,738,Mali,Morocco,0.9168765743073047,0.3960031007439768,134
59,12086,AT,4248,CKY,4162,CMN,1074,,0,73G 738,Guinea,Morocco,1.2985611510791366,0.5759553354374083,138
60,12097,AT,4248,CMN,1074,BKO,1044,,0,738,Morocco,Mali,0.9168765743073047,0.5728028374227456,134
61,12103,AT,4248,CMN,1074,CKY,4162,,0,73G 738,Morocco,Guinea,1.3308823529411764,0.5498013954097095,135
62,12105,AT,4248,CMN,1074,DKR,1084,,0,738,Morocco,Senegal,0.4993141289437586,0.4999995295806727,182
63,12111,AT,4248,CMN,1074,FNA,1059,,0,73G,Morocco,Sierra Leone,4.723684210526316,2.068553296964395,138
64,12146,AT,4248,CMN,1074,ROB,1063,,0,738 73G,Morocco,Liberia,7.14,1.0772186407596174,157
65,12162,AT,4248,COO,245,LOS,273,,0,738,Benin,Nigeria,0.8725961538461539,0.7693772396609382,100
66,12164,AT,4248,DKR,1084,CMN,1074,,0,738,Senegal,Morocco,0.4993141289437586,0.4999995295806727,181
67,12175,AT,4248,FNA,1059,CMN,1074,,0,738 73G,Sierra Leone,Morocco,5.918032786885246,1.7676054189093813,131
68,12194,AT,4248,LOS,273,CMN,1074,,0,738,Nigeria,Morocco,1.9675675675675677,0.869312886182685,121
69,12260,AT,4248,ROB,1063,CMN,1074,,0,73G,Liberia,Morocco,5.609375,3.3289318270843276,143
70,13316,AZ,596,FCO,1555,LOS,273,,0,330,Italy,Nigeria,2.3333333333333335,1.2472191289246464,235
71,14395,BA,1355,ABV,260,LHR,507,,0,777,Nigeria,United Kingdom,0.5833333333333334,0.4930066485916347,230
72,14518,BA,1355,FNA,1059,LHR,507,,0,767,Sierra Leone,United Kingdom,2.2341772151898733,6.062091924430076,184
73,14659,BA,1355,LHR,507,ABV,260,,0,777,United Kingdom,Nigeria,0.5833333333333334,0.4930066485916347,230
74,14703,BA,1355,LHR,507,FNA,1059,,0,767,United Kingdom,Sierra Leone,2.2125,6.029497802470783,185
75,14738,BA,1355,LHR,507,LOS,273,,0,744,United Kingdom,Nigeria,0.31901840490797545,0.4660961941895051,324
76,14791,BA,1355,LOS,273,LHR,507,,0,744,Nigeria,United Kingdom,0.3179039301310044,0.4656619174232141,324
77,19996,DH,10128,BKO,1044,CKY,4162,,0,AT7,Mali,Guinea,1.0168539325842696,1.0384448133385324,94
78,19997,DH,10128,BKO,1044,COO,245,,0,AT7,Mali,Benin,1.0311614730878187,0.8118408833132249,122
